userid,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,Recency,Frequency,Monetary,Monetary_score,Recency_score,RFM_score,Grade
21,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4,Never,,,,,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
22,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,"Classical & melody, dance",Morning,Relaxation and stress relief,Office hours,recommendations,5,Never,,,,,Ok,2023-03-01,2,120000,2,2,222,휴면고객
23,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied,,0,0,0,0,0,무료회원
24,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied,2023-07-01,5,300000,5,6,655,충성고객
25,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,2023-07-01,5,300000,5,6,655,충성고객
26,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4,Never,,,,,Ok,,0,0,0,0,0,무료회원
27,2023-07-01,12-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied,2023-07-01,6,360000,6,6,666,충성고객
28,2023-07-01,35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Old songs,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,,,,,Very Dissatisfied,,0,0,0,0,0,무료회원
29,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,,,,,Ok,2023-03-01,1,60000,1,2,211,휴면고객
30,2023-07-01,20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
31,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied,2023-06-01,3,180000,3,5,533,잠재충성고객
32,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
33,2023-07-01,12-20,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3,Never,,,,,Ok,2023-06-01,3,180000,3,5,533,잠재충성고객
34,2023-07-01,12-20,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok,2023-04-01,1,60000,1,3,311,휴면고객
35,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,2023-04-01,1,60000,1,3,311,휴면고객
36,2023-07-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Rap,Night,Uplifting and motivational,Workout session,Others,1,Never,,,,,Ok,2023-04-01,1,60000,1,3,311,휴면고객
37,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,Several times a week,Business,Story telling,Both,Shorter,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
38,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,2023-05-01,3,180000,3,4,433,잠재충성고객
39,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,2023-05-01,2,120000,2,4,422,관심필요고객
40,2023-07-01,12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,,Interview,Both,Shorter,Ok,2023-05-01,3,180000,3,4,433,잠재충성고객
41,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,,Both,Shorter,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
42,2023-07-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,,Conversational,Both,Both,Ok,2023-05-01,1,60000,1,4,411,신규고객
43,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied,2023-05-01,2,120000,2,4,422,관심필요고객
44,2023-07-01,12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
45,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling,","recommendations, Playlists",5,Once a week,Comedy,Story telling,,Both,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
46,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
47,2023-07-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok,2023-06-01,1,60000,1,5,511,신규고객
48,2023-07-01,35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
49,2023-07-01,20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,,Well known individuals,Shorter,Ok,,0,0,0,0,0,무료회원
50,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,2023-07-01,6,360000,6,6,666,충성고객
51,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied,2023-04-01,1,60000,1,3,311,휴면고객
52,2023-07-01,12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,leisure time,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok,2023-04-01,1,60000,1,3,311,휴면고객
53,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4,Never,,,,,Ok,2023-04-01,1,60000,1,3,311,휴면고객
54,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied,2023-04-01,1,60000,1,3,311,휴면고객
55,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,2023-04-01,1,60000,1,3,311,휴면고객
56,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,,,,,Ok,2023-04-01,2,120000,2,3,322,휴면고객
57,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
58,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Comedy,Story telling,,,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
59,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,Story telling,Both,Shorter,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
60,2023-07-01,20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,,,,,Satisfied,2023-07-01,4,240000,4,6,644,잠재충성고객
61,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
62,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,,,,,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
63,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
64,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied,2023-05-01,1,60000,1,4,411,신규고객
65,2023-07-01,12-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,,,,,Ok,2023-05-01,1,60000,1,4,411,신규고객
66,2023-07-01,20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,,,,,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
67,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied,2023-07-01,6,360000,6,6,666,충성고객
68,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,2023-07-01,5,300000,5,6,655,충성고객
69,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Ok,2023-05-01,1,60000,1,4,411,신규고객
70,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Never,,,,,Ok,2023-05-01,1,60000,1,4,411,신규고객
71,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
72,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
73,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
74,2023-07-01,20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Ok,2023-06-01,1,60000,1,5,511,신규고객
75,2023-07-01,12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok,2023-07-01,4,240000,4,6,644,잠재충성고객
76,2023-07-01,20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied,2023-07-01,5,300000,5,6,655,충성고객
77,2023-07-01,20-35,Female,More than 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,Study Hours,recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied,2023-04-01,1,60000,1,3,311,휴면고객
78,2023-07-01,35-60,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,Social gatherings or parties,Workout session,Radio,5,Once a week,Comedy,Educational,,Shorter,Ok,2023-04-01,1,60000,1,3,311,휴면고객
79,2023-07-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied,2023-04-01,2,120000,2,3,322,휴면고객
80,2023-07-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied,2023-04-01,1,60000,1,3,311,휴면고객
81,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,4,Never,,,,,Ok,2023-04-01,1,60000,1,3,311,휴면고객
82,2023-07-01,12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,Study Hours,Radio,3,Once a week,Food and cooking,Story telling,Well known individuals,Shorter,Ok,2023-04-01,1,60000,1,3,311,휴면고객
83,2023-07-01,35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied,2023-04-01,2,120000,2,3,322,휴면고객
84,2023-07-01,12-20,Others,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Uplifting and motivational,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,2023-05-01,2,120000,2,4,422,관심필요고객
85,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Several times a week,Comedy,,Both,Shorter,Ok,2023-05-01,3,180000,3,4,433,잠재충성고객
86,2023-07-01,20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sadness or melancholy,While Traveling,Playlists,3,Several times a week,Sports,Interview,Both,Both,Very Satisfied,2023-05-01,2,120000,2,4,422,관심필요고객
87,2023-07-01,12-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,,Podcast,Rap,Afternoon,Uplifting and motivational,Study Hours,Others,3,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
88,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,,,,,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
89,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied,2023-06-01,1,60000,1,5,511,신규고객
90,2023-07-01,35-60,Others,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),No,,Podcast,classical,Morning,Uplifting and motivational,While Traveling,recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied,,0,0,0,0,0,무료회원
91,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,,0,0,0,0,0,무료회원
92,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,Relaxation and stress relief,Office hours,Playlists,3,Never,Lifestyle and Health,,Both,Longer,Satisfied,2023-07-01,4,240000,4,6,644,잠재충성고객
93,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,,,,,Ok,,0,0,0,0,0,무료회원
